文件,SHA256,课程,应读文字,音标,文字依据,状态,问题编号,说明,base.en 转写,tiny.en 转写,时长毫秒,起音毫秒,人工听审,审核人,审核日期,人工结论
lesson50/audio/does_she_like_peaches.mp3,58c5bb0e7c0c80ca898d2c912d4ee0531ec008d5f1b9926614af9236397514d5,lesson50,Does she like peaches?,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Does she like peaches?,未做第二模型,2064,200,待逐条人工听审,,,
lesson50/audio/flies.mp3,47518604a4766400e6723ba75a7295935fc6dbace7e63c873b21f5a21606d3e5,lesson50,flies,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Flies,未做第二模型,1776,240,待逐条人工听审,,,
lesson50/audio/fly.mp3,1d195763c8ed316883afbea35cc284c6df22180a32c253b4aa90af60038ce4ee,lesson50,fly,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Fly,未做第二模型,1104,200,待逐条人工听审,,,
lesson50/audio/go.mp3,587f76e52827531854c4dda0053ddb8debbfc6757b69ba81a31adca03a35f7ac,lesson50,go,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Go!,未做第二模型,1776,250,待逐条人工听审,,,
lesson50/audio/goes.mp3,32ce8374e8647321af2bc36c71fc5e59f5cf63da58efb6031e323835e7575641,lesson50,goes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,goes,未做第二模型,1200,250,待逐条人工听审,,,
lesson50/audio/grape.mp3,159a52cb87f16d5b442adb9dd1fddfa0552deb4d53c0902f45ea20c37b03d47e,lesson50 / unit49-50,grape,/ɡreɪp/,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Grape,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/grapes.mp3,41c8f06960583c64b5158f09b8adf14192c5df23c931cefb83c3de91200a83c2,lesson50,grapes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,grapes,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/has.mp3,01422fb17e11ff2a381a92069400cfbee18b78b1a6b6c9f83d5b5b9ba6242b9c,lesson50,has,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,has,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/have.mp3,9e1a7fea32b0ab025f1debde3e8f727c0546c551a583cb5e30c9e22a704a339d,lesson50,have,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,have,未做第二模型,1776,230,待逐条人工听审,,,
lesson50/audio/he_doesn_t_like_beans.mp3,adf65c200b47d937f55a8d8120aabbcdb4a1c91e0b4f2e3626fc1a82dfdede74,lesson50,He doesn't like beans.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He doesn't like beans.,未做第二模型,2064,240,待逐条人工听审,,,
lesson50/audio/he_doesn_t_like_lettuce.mp3,ce62f2e2f494a4e043672b322af8fc269d8ae06a1b68865cbcea71db916aee9c,lesson50,He doesn't like lettuce.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He doesn't like lettuce.,未做第二模型,2160,240,待逐条人工听审,,,
lesson50/audio/he_doesn_t_like_meat.mp3,23c994ff6bb4f93bebe9a85c828226c2e6d46f96139e3e9cf2e4dc37d2e31089,lesson50,He doesn't like meat.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He doesn't like meat.,未做第二模型,1992,240,待逐条人工听审,,,
lesson50/audio/he_doesn_t_like_potatoes.mp3,dee4146d8cb55cfb54e23b5e951968c64bbe99ad6cb109296922cfa0034cb9c1,lesson50,He doesn't like potatoes.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He doesn't like potatoes.,未做第二模型,2328,240,待逐条人工听审,,,
lesson50/audio/he_is_thin.mp3,af215c5a6c6fbee1d78f515eba610ee6eb44812bd751636ce4a4d54599aad5c7,lesson50,He is thin.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He is thin.,未做第二模型,1776,250,待逐条人工听审,,,
lesson50/audio/he_likes_beef.mp3,7935ddb7c43a48034ca92528f61e08e532c675cff437500703f97c2b9274a76c,lesson50,he likes beef,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes beef.,未做第二模型,1776,250,待逐条人工听审,,,
lesson50/audio/he_likes_cabbage.mp3,dfc34d0fb3f06ff8d1159999dcaa361e6e6ac3d7832b7aafc68909126eed99ee,lesson50,He likes cabbage.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes cabbage.,未做第二模型,1848,260,待逐条人工听审,,,
lesson50/audio/he_likes_meat.mp3,93861cc06146148f22d0274561aaa6355e584b3ee0e87dee9a7b147e53bededf,lesson50,He likes meat.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes meat.,未做第二模型,1776,250,待逐条人工听审,,,
lesson50/audio/he_likes_peaches.mp3,584eddc715a99cdb1ab67a0cdf4465b9775ca70c2042908620a7e6b156712405,lesson50,He likes peaches.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes peaches.,未做第二模型,1896,240,待逐条人工听审,,,
lesson50/audio/he_likes_peas.mp3,aecb2f4fac62c0952256c60fe5292fe0c3e9c6b45d2edf1152beb9365a056e76,lesson50,He likes peas.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes peas.,未做第二模型,1776,240,待逐条人工听审,,,
lesson50/audio/he_likes_tomatoes.mp3,32a24c29cc826fff44d5f42bbdcd67ba9a1511869d2221adeebd70fc622bdaaf,lesson50,He likes tomatoes.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,He likes tomatoes.,未做第二模型,2016,240,待逐条人工听审,,,
lesson50/audio/he_likes_tomatoes_but_he_doesn_t_like_potatoes.mp3,13c6732526c9bd79d1799567256c6384cd7916e0f7ca7104a0de0f58d7c85edf,lesson50,"He likes tomatoes, but he doesn't like potatoes.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"He likes tomatoes, but he doesn't like potatoes.",未做第二模型,4080,250,待逐条人工听审,,,
lesson50/audio/his_brother_cooks_meals.mp3,db71e6849496b0eb38823e881b113a3a43de160ce5fa6a697e63f0b1644de814,lesson50,His brother cooks meals.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,His brother cooks meals.,未做第二模型,2280,240,待逐条人工听审,,,
lesson50/audio/i_am_busy.mp3,d704df3821b09233164c0d14f9aa15aca663b7454906529c19fd41f69ac2cbb8,lesson50,I am busy.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,I am busy,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/i_like_peas_but_i_don_t_like_beans.mp3,86e5ff05ef24037b337283aeeae19750135bc293939ff649443d47d5c6aa5d48,lesson50,"I like peas, but I don't like beans.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"I like peas, but I don't like beans.",未做第二模型,3288,210,待逐条人工听审,,,
lesson50/audio/i_sleep_well_every_day.mp3,f17cf6885af4598de1d3ea9134fe14cb80967ce5ad306d7f81b240bcc93339d6,lesson50,i sleep well every day,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,I sleep well every day.,未做第二模型,2304,210,待逐条人工听审,,,
lesson50/audio/i_want_some_meat.mp3,f19b84eb2ea9fd086474d26dc19da1563f0c0cd932c2291bea00a572fd944300,lesson50,i want some meat,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,I want some meat.,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/jim_and_lily_walk_to_school_every_day.mp3,9e0b1d9a51220fad534f9b5c80fc59281f0b92a3bd3b0e7011037efcc62d1c1b,lesson50,Jim and Lily walk to school every day.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Jim and Lily walk to school every day.,未做第二模型,3192,210,待逐条人工听审,,,
lesson50/audio/let_s_learn_about_likes_and_dislikes.mp3,93e9d01f5223ffff7a04cf97a2c86ac859bd09a1cbb9e7a6b3bea96f3152537f,lesson50,let s learn about likes and dislikes,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Let's learn about likes and dislikes.,未做第二模型,2976,200,待逐条人工听审,,,
lesson50/audio/like.mp3,dad90fb509c697b2d8642da1883ce6255c29263e36ddbfb4da941d8eac204bad,lesson50,like,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Like,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/likes.mp3,562883537fa4a2867463cd18eca6d465b5b5caf4144f4f753747e0676b99c8db,lesson50,likes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,likes,未做第二模型,1776,220,待逐条人工听审,,,
lesson50/audio/lucy_doesn_t_watch_tv_in_the_evening.mp3,896875f6604390b0db2435af9dff8163357d487e8f063e5aa2853565216a8ce7,lesson50,lucy doesn t watch tv in the evening,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Lucy doesn't watch TV in the evening.,未做第二模型,3144,200,待逐条人工听审,,,
lesson50/audio/lucy_watches_tv_in_the_evening.mp3,d4cdecb5134131a174bc654d11235bc47d7a59b7796298c78b8d55dd3c6c2c52,lesson50,Lucy watches TV in the evening.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Lucy watches TV in the evening.,未做第二模型,3120,210,待逐条人工听审,,,
lesson50/audio/my_dog_watches_tv_at_night.mp3,c98f3dc4240b204f2d0f690fa4bfdec87343aa8a34bfdb54c1f02ebe7323cede,lesson50,My dog watches TV at night.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,My dog watches TV at night.,未做第二模型,2856,210,待逐条人工听审,,,
lesson50/audio/my_teacher_is_tall.mp3,c6d57d0b6352e3737bcd1f9a2f0289ab4668b4d8b95d006d956ea12d9bffad1b,lesson50,my teacher is tall,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,My teacher is tall.,未做第二模型,2064,260,待逐条人工听审,,,
lesson50/audio/no_he_doesn_t.mp3,73504ee22e68ee01260ed9b8df181e58eea1088b7fb0385b6e728fcfd2da2f63,lesson50,"No, he doesn't.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"No, he doesn't.",未做第二模型,2064,220,待逐条人工听审,,,
lesson50/audio/no_i_don_t.mp3,221ad6a978428602839f0c85729b79211b7371589c1d390402ed66929d07261d,lesson50,"No, I don't.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"No, I don't.",未做第二模型,1944,200,待逐条人工听审,,,
lesson50/audio/no_she_doesn_t.mp3,abc7f7588fb01b7654a294e827c97de3b31be5322cdf163f14ed959aea73009b,lesson50,"No, she doesn't.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"No, she doesn't.",未做第二模型,2064,210,待逐条人工听审,,,
lesson50/audio/peach.mp3,f62db65ae76bd9737ba6a0ee615fa8b03762d66cdb5295d34d45b7a67740b728,lesson50 / unit49-50,peach,/piːtʃ/,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Peach.,未做第二模型,1776,230,待逐条人工听审,,,
lesson50/audio/peaches.mp3,0704667e470281596b5aaa4cc019e0fa6a9f18c6a62358fab9878c63c86cb6c3,lesson50,peaches,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Peaches,未做第二模型,1776,230,待逐条人工听审,,,
lesson50/audio/play.mp3,a5e8527f5ac7b3e692710a54eea2e40eee8d72fa2bf57b380d4cc5230d1b1c5b,lesson50,play,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Play.,未做第二模型,1776,230,待逐条人工听审,,,
lesson50/audio/potato.mp3,164b21650bcb21cd56db13a425984c759579961a2f1dae58f2e8a8344ca7f1e4,lesson50 / unit49-50,potato,/pəˈteɪtəʊ/,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,potato,未做第二模型,1776,250,待逐条人工听审,,,
lesson50/audio/potatoes.mp3,99ff3c07c50b11ee244e24f2f8c4416ebb745f07512f001b25c4d12c1cc10f87,lesson50,potatoes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Potatoes,未做第二模型,1776,260,待逐条人工听审,,,
lesson50/audio/she_can_draw_well.mp3,a05d5d0779d901897896a3b61a1089103428a8780e2fdb3519c1ac922d7c5d90,lesson50,she can draw well,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She can draw well.,未做第二模型,1896,210,待逐条人工听审,,,
lesson50/audio/she_doesn_t_like_peaches.mp3,88a3666ce7133fff148e9aa93758d842d413974405618e0226a595d573975536,lesson50,She doesn't like peaches.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She doesn't like peaches.,未做第二模型,2232,210,待逐条人工听审,,,
lesson50/audio/she_doesn_t_like_pears.mp3,9a3fff962940b0cc7b15507f296fa4312accd53f2cf04f94f7238cb9dbbb21fe,lesson50,She doesn't like pears.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She doesn't like pears.,未做第二模型,2112,210,待逐条人工听审,,,
lesson50/audio/she_is_pretty.mp3,4febde8d11a5a7d5aa1f6abafd034522a8436c60f45c6b7e9ed7fa1b5da01622,lesson50,She is pretty.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She is pretty.,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/she_likes_grapes.mp3,fc3aa93f762d91f7a73a7ffe0d875dd963ac19c20f122d54a9236a85a78eb0aa,lesson50,She likes grapes.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She likes grapes.,未做第二模型,1920,210,待逐条人工听审,,,
lesson50/audio/she_likes_pears.mp3,e44aa8cda89385b3a7c265a8692795e6fcff0775bde7da59634985067bb6a3e2,lesson50,She likes pears.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,She likes pears.,未做第二模型,1872,210,待逐条人工听审,,,
lesson50/audio/she_likes_pears_but_she_doesn_t_like_peaches.mp3,a38adc1884a54b16fa7e2e4734cc4b291daf382c89f3dec33c4126791d09e865,lesson50,"She likes pears, but she doesn't like peaches.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"She likes pears, but she doesn't like peaches.",未做第二模型,3744,210,待逐条人工听审,,,
lesson50/audio/studies.mp3,27b5c39991c237f1f0739df6d64804b24ff4c324d79d5673aac380d7a4e5aded,lesson50,studies,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Studies,未做第二模型,1776,220,待逐条人工听审,,,
lesson50/audio/study.mp3,f2167c22db52bed5838a8f6e9b7c1d7cb487a06ac9ff72a202c0a247d0bcc3b1,lesson50,study,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Study,未做第二模型,1776,220,待逐条人工听审,,,
lesson50/audio/teach.mp3,7da6c39d0cb6ccc84d2743fa35709ae85f3b1cdc7f9673879a44ec0a846476a7,lesson50,teach,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Teach.,未做第二模型,1128,200,待逐条人工听审,,,
lesson50/audio/the_earth_moves_around_the_sun.mp3,7f87b16fc16089526c73225647241732f850cd336c37e5a6e4a229402bf48fe7,lesson50,The earth moves around the sun.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,The Earth moves around the Sun.,未做第二模型,2496,220,待逐条人工听审,,,
lesson50/audio/the_students_go_to_school_on_foot.mp3,73817c8f621a33a76f88acd95b57766cff45e9ef1ba5c08cd2965cafcb6c5465,lesson50,The students go to school on foot.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,The students go to school on foot.,未做第二模型,2760,240,待逐条人工听审,,,
lesson50/audio/the_sun_rises_in_the_east_and_sets_in_the_west.mp3,80692fcce78378fa26a8f65029a461cb928c9a68acd6a57d2ebd89063bb99d01,lesson50,The sun rises in the east and sets in the west.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,The sun rises in the east and sets in the west.,未做第二模型,3744,220,待逐条人工听审,,,
lesson50/audio/they_are_ducks.mp3,3dbe9752438d184fa62a67912223a5cb4ad287fff407987e42f9e9bcedc30192,lesson50,They are ducks.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,They are ducks.,未做第二模型,1536,210,待逐条人工听审,,,
lesson50/audio/they_are_thirsty_and_tired.mp3,85f9faa34ca67e10258db881f1e341070519c62daf5278a2c2fcd15babf7c769,lesson50,they are thirsty and tired,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,They are thirsty and tired.,未做第二模型,2304,220,待逐条人工听审,,,
lesson50/audio/they_are_working_hard.mp3,b475d072fc3802bd92de8e8cebd35ae34622970beda12062650940590bf80e6f,lesson50,they are working hard,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,They are working hard.,未做第二模型,1944,220,待逐条人工听审,,,
lesson50/audio/they_don_t_drink_milk_every_night.mp3,b5ec4934133ea9298b428b52eec891d40c1c958804398639dc8040f5e0e6d694,lesson50,they don t drink milk every night,,filename-inferred,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,They don't drink milk every night.,未做第二模型,2592,230,待逐条人工听审,,,
lesson50/audio/they_drink_milk_every_night.mp3,86a041dc3a2b8124130d31b72c4c09cfde632d78398100ddf19db2b365fa5162,lesson50,They drink milk every night.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,They drink milk every night.,未做第二模型,2376,230,待逐条人工听审,,,
lesson50/audio/tomato.mp3,abe45f0842117c8104c3acbd4890695dae68e7bb84172506723314b29b1e46e7,lesson50 / unit49-50,tomato,/təˈmɑːtəʊ/,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Tomato,未做第二模型,1776,240,待逐条人工听审,,,
lesson50/audio/tomatoes.mp3,e788b0721a5c7fa674cec0f7a3b80083eb9407f4b5819fae55153ee80f89e8c8,lesson50,tomatoes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Tomatoes,未做第二模型,1776,240,待逐条人工听审,,,
lesson50/audio/wash.mp3,16284a327ad45d5b0f43d30389a476cb12e7e1cd3fea61b5304697e63f4d4681,lesson50,wash,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Wash.,未做第二模型,1776,210,待逐条人工听审,,,
lesson50/audio/washes.mp3,e22bb16793068d4885c7237c86f2716561fcb7aba8e4ec8b6fee1754e36f818f,lesson50,washes,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,washes,未做第二模型,1776,260,待逐条人工听审,,,
lesson50/audio/watch.mp3,1196e4fe72fcc26d53f0b3f65bf308517ac98540fed6c075e2285e81b4a48fd9,lesson50,watch,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Watch.,未做第二模型,1776,220,待逐条人工听审,,,
lesson50/audio/watches.mp3,8adf5bb471aa2ad28cbb202d08ab52529ef1586665c10d73bc2e56f3bb2bd0b9,lesson50,watches,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Watches,未做第二模型,1776,220,待逐条人工听审,,,
lesson50/audio/welcome_to_the_picky_prince_adventure.mp3,1325ed1e9b8b66d488d94ed6be0135bb6a6d5302a0968d4dda9530d435a5cb2c,lesson50,Welcome to the Picky Prince adventure!,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Welcome to the Picky Prince Adventure.,未做第二模型,2856,210,待逐条人工听审,,,
lesson50/audio/yes_he_does.mp3,24dae181ce0ac038bad9dc464524305c9296d2ccc8507e4d094d2338311662a1,lesson50,"Yes, he does.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"Yes, he does.",未做第二模型,1968,210,待逐条人工听审,,,
lesson50/audio/yes_i_do.mp3,1bc5168549b20d60e6aa2fce940cbffa0eb05d1b9addffe243586c76c6b813a4,lesson50,"Yes, I do.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"Yes, I do.",未做第二模型,1944,250,待逐条人工听审,,,
lesson50/audio/yes_she_does.mp3,b227ec42216eb5276d9d8b0d4b6383512bea69c40502e053f825ea0781c3f585,lesson50,"Yes, she does.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"Yes, she does.",未做第二模型,2040,220,待逐条人工听审,,,
lesson51/audio/april.mp3,3e1b0a9a3dc85d6b9921f167eb44a24a7dae9ea856d17a44559ce944c6cdb6a2,lesson51,April,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,April,未做第二模型,1776,190,待逐条人工听审,,,
lesson51/audio/august.mp3,6246e4c42a90f5ab827612df5360b39196f038c0e5ba1329e4a13a886acbf3e2,lesson51,August,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,August,未做第二模型,1776,250,待逐条人工听审,,,
lesson51/audio/autumn.mp3,bc1fc5ca16aa3657e5177a0f550328a524b53953910ace0f0fcf0e7d1589ec54,lesson51,autumn,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Autumn,未做第二模型,1776,210,待逐条人工听审,,,
lesson51/audio/climate.mp3,a4720274acf6fee54d195fd5c555ac8fa7442526c7c1ea4ed33347b5d85b1a63,lesson51,climate,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Climate,未做第二模型,1776,240,待逐条人工听审,,,
lesson51/audio/country.mp3,b4b3a3f0a2a01a6643e803776acee720e46be3827a2b465fd7dd6dc41b5246eb,lesson51,country,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,country,未做第二模型,1776,200,待逐条人工听审,,,
lesson51/audio/december.mp3,6bf8acc9e73395230f78fb2611b6ad0de805a3a8bc93b29b44783212fef5ab2f,lesson51,December,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,December,未做第二模型,1776,250,待逐条人工听审,,,
lesson51/audio/february.mp3,5d4151de4d6ed80a736aead350045215d179bca8c1d873ea216ee1a950e97280,lesson51,February,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,February,未做第二模型,1776,250,待逐条人工听审,,,
lesson51/audio/greece.mp3,e11df5c62e15fd7fa9a44a256411f0b583879af1486d5b9a2a8e4f9f0f7c9bfa,lesson51,Greece,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Greece,未做第二模型,1776,250,待逐条人工听审,,,
lesson51/audio/i_come_from_greece.mp3,1bb05d80747e2346fead6af0e20b677bd5c63422757b1e7cc74ed52c9b64d98a,lesson51,I come from Greece.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,I come from Greece.,未做第二模型,2304,240,待逐条人工听审,,,
lesson51/audio/is_it_cold_or_warm_in_autumn.mp3,c491e2981c68c628af0687c4de41f61545b6619e7831f7e39200e5a398610c61,lesson51,Is it cold or warm in autumn?,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Is it cold or warm in autumn?,未做第二模型,3360,300,待逐条人工听审,,,
lesson51/audio/is_it_very_cold_in_winter.mp3,2024063e15a809a50fcc8bb64b00293cf54f9bc0c89077b9df5fcfe599a82926,lesson51,Is it very cold in winter?,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,Is it very cold in winter?,未做第二模型,3096,310,待逐条人工听审,,,
lesson51/audio/it_rains_sometimes.mp3,827bfdf6651a1b9f8c0fd12625d5b699a91ef4b19c40505cee8cee5ccbefe33e,lesson51,It rains sometimes.,,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,It rains sometimes.,未做第二模型,1968,200,待逐条人工听审,,,
lesson51/audio/it_s_always_hot_in_june_july_and_august.mp3,d52fb05c8ac4056375526a35a201d7698043e2e316cd1092fda83c68ec2059b2,lesson51,"It's always hot in June, July and August.",,page-literal,初筛未提示文字差异,,只表示自动初筛没有文字差异；自然度、音色、词性变音和音标仍需人工听审。,"It's always hot in June, July and August.",未做第二模型,4704,240,待逐条人工听审,,,
